category,category_description,item_name,item_description,price,size1,price1,size2,price2,size3,price3,size4,price4
Margaritas,Made from scratch. Make it with mezcal for an extra $2.00.,House Fresca,"Tequila Blanco, made from scratch margarita mix, shaken and served in a salt-rimmed glass.",,Small,$7,Grande,$12,,,,
Margaritas,Made from scratch. Make it with mezcal for an extra $2.00.,Texas Margarita,"Jose Cuervo Especial Gold Tequila, Gran Gala, sweet & sour, and a splash of orange juice.",,Small,$8,Grande,$14,,,,
Margaritas,Made from scratch. Make it with mezcal for an extra $2.00.,Guava Margarita,"Reposado Tequila, guava nectar, made from scratch margarita mix, served in a salt-rimmed glass.",$10,,,,,,,,
Margaritas,Made from scratch. Make it with mezcal for an extra $2.00.,Jalapeño Infused,"Jalapeño-infused tequila, fresh lime juice, orange juice, and agave nectar. Served in a tajin salt-rimmed glass.",$10,,,,,,,,
Margaritas,Made from scratch. Make it with mezcal for an extra $2.00.,Berry Basil,"Tequila Blanco, fresh margarita mix, muddled berries, basil, and agave nectar.",$10,,,,,,,,
Margaritas,Made from scratch. Make it with mezcal for an extra $2.00.,Mercadito,"Jalapeño-infused tequila, fresh margarita mix, muddled mint, cucumber, served in a tajin-rimmed glass.",$10,,,,,,,,
Margaritas,Made from scratch. Make it with mezcal for an extra $2.00.,Pineapple Habanero,"Habanero-infused tequila, pineapple juice, and fresh margarita mix. Served in a tajin salt-rimmed glass.",$12,,,,,,,,
Margaritas,Made from scratch. Make it with mezcal for an extra $2.00.,La Skinny,"Tequila Blanco, fresh lime, and agave nectar, shaken.",$10,,,,,,,,
Margaritas,Made from scratch. Make it with mezcal for an extra $2.00.,Tamarindo,"Tequila Blanco, fresh margarita mix, tamarind purée, served in a tajin salt-rimmed glass.",$10,,,,,,,,
Margaritas,Made from scratch. Make it with mezcal for an extra $2.00.,Jalapeño Cucumber Margarita,1800 Cucumber & Jalapeño Tequila with agave mix.,$10,,,,,,,,
Frozen Margaritas,,Frozen Margaritas,Flavor options: Mango | Strawberry | Guava | Lime | Piña Colada | Peach | Watermelon | Tamarind.,,Small,$8,Grande,$13,,,,
Margarita Flights,,Margarita Flights,Flavor options: Mango | Strawberry | Guava | Lime | Piña Colada | Peach | Watermelon.,,4 Flavor,$18,,,,,,
Margarita Flights,,Margarona,"Coronita beer and frozen margarita, served in a salt-rimmed glass.",$15,,,,,,,,
Margarita Flights,,Cantarito,"Tequila Reposado, lime juice, pineapple juice, grapefruit juice, agave, and grapefruit soda.",$14,,,,,,,,
Mimosas,,Classic Mimosa,Champagne and fresh squeezed orange juice.,,Glass,$6,Carafe,$14,,,,
Mimosas,,Guava Mimosa,"Champagne, guava purée, and fresh squeezed orange juice.",,Glass,$7,Carafe,$16,,,,
Mimosas,,Peach Mimosa,Champagne and peach purée.,,Glass,$7,Carafe,$16,,,,
Draft Beer,,Import Beer,"Modelo Especial, Pacifico, Dos Equis Amber, and Michelob.",,Pint,$6,Tall,$9,,,,
Draft Beer,,Domestic Beer,"Ultra, Miller Lite, and Coors Light.",,Pint,$5,Tall,$8,,,,
Imported Beer,$5.00,Corona,,,,,,,,,,
Imported Beer,$5.00,Corona Light,,,,,,,,,,
Imported Beer,$5.00,Coronita,,,,,,,,,,
Imported Beer,$5.00,Dos Equis Amber,,,,,,,,,,
Imported Beer,$5.00,Dos Equis Lager,,,,,,,,,,
Imported Beer,$5.00,Modelo Especial,,,,,,,,,,
Imported Beer,$5.00,Negra Modelo,,,,,,,,,,
Imported Beer,$5.00,Pacifico,,,,,,,,,,
Imported Beer,$5.00,Tecate (Can),,,,,,,,,,
Imported Beer,$5.00,Victoria,,,,,,,,,,
Imported Beer,$5.00,Corona Non-Alcoholic,,,,,,,,,,
Domestic Beer,Ask your server for seasonal beers and seltzers. $4.75,Budweiser,,,,,,,,,,
Domestic Beer,Ask your server for seasonal beers and seltzers. $4.75,Bud Light,,,,,,,,,,
Domestic Beer,Ask your server for seasonal beers and seltzers. $4.75,Michelob Ultra,,,,,,,,,,
Domestic Beer,Ask your server for seasonal beers and seltzers. $4.75,Miller Light,,,,,,,,,,
Domestic Beer,Ask your server for seasonal beers and seltzers. $4.75,Coors Light,,,,,,,,,,
Domestic Beer,Ask your server for seasonal beers and seltzers. $4.75,Michelada,"Modelo Especial with house-made michelada mix (tomato clamato juice, lime, hot sauce, spices, and more). Served in a tajin-rimmed beer mug.",,Small,$11,Tall,$16,,,,
Specialty Cocktails,,Paloma,"Tequila Reposado, fresh grapefruit juice, fresh lime juice, agave nectar, and a pinch of salt, topped with soda. Served in a salt-rimmed glass.",$12,,,,,,,,
Specialty Cocktails,,Mexican Old Fashioned,"Añejo Tequila, Angostura bitters, agave nectar, and orange zest.",$14,,,,,,,,
Specialty Cocktails,,Mexican Mule,"Choice of Tequila or Mezcal, agave nectar, lime, and ginger beer, with orange zest garnish.",$11,,,,,,,,
Specialty Cocktails,,Tito's Passion,"Tito's Handmade Vodka, passion fruit purée, and coconut water.",$10,,,,,,,,
Specialty Cocktails,,Bloody Maria,"Reposado Tequila, lime juice, and michelada mix.",$12,,,,,,,,
Specialty Cocktails,,Mex-spresso Martini,"Mezcal, Averna, Ancho Reyes, Kahlúa, and espresso.",$12,,,,,,,,
Specialty Cocktails,,Hot & Dirty,"Tequila Reposado, lime juice, Cointreau, and olive brine.",$14,,,,,,,,
Specialty Cocktails,,Oaxacan & Tonic,"Mezcal, tonic water, and lime.",$10,,,,,,,,
House Wines,$7,Pinot Grigio,,,,,,,,,,
House Wines,$7,Chardonnay,,,,,,,,,,
House Wines,$7,Sauvignon Blanc,,,,,,,,,,
House Wines,$7,Prosecco,,,,,,,,,,
House Wines,$7,Cabernet Sauvignon,,,,,,,,,,
House Wines,$7,Pinot Noir,,,,,,,,,,
House Wines,$7,Merlot,,,,,,,,,,
Sangria,,White Sangria,White wine and sangria syrup with mixed fruit and a splash of soda.,$8,,,,,,,,
Sangria,,Red Sangria,Red wine and sangria syrup with mixed fruits and a splash of soda.,$8,,,,,,,,